id,等级,升级所需经验,兑换转生值,兑换声望值,最大血量（战士）,最大魔力（战士）,最小物攻（战士）,最大物攻（战士）,最小法攻（战士）,最大法攻（战士）,最小道攻（战士）,最大道攻（战士）,最小物防（战士）,最大物防（战士）,最小法防（战士）,最大法防（战士）,准确值（战士）,闪避值（战士）,最大血量（法师）,最大魔力（法师）,最小物攻（法师）,最大物攻（法师）,最小法攻（法师）,最大法攻（法师）,最小道攻（法师）,最大道攻（法师）,最小物防（法师）,最大物防（法师）,最小法防（法师）,最大法防（法师）,准确值（法师）,闪避值（法师）,最大血量（道士）,最大魔力（道士）,最小物攻（道士）,最大物攻（道士）,最小法攻（道士）,最大法攻（道士）,最小道攻（道士）,最大道攻（道士）,最小物防（道士）,最大物防（道士）,最小法防（道士）,最大法防（道士）,准确值（道士）,闪避值（道士）
66,66,50000,0,0,17733,2306,70,146,35,73,35,73,214,447,214,447,15,10,6206,8073,35,73,56,116,35,73,160,335,235,491,15,10,9753,4151,35,73,35,73,59,124,171,357,203,424,15,10
67,67,50000,0,0,18123,2341,71,148,35,74,35,74,217,453,217,453,15,10,6343,8193,35,74,56,118,35,74,162,339,238,498,15,10,9967,4213,35,74,35,74,60,125,173,362,206,430,15,10
68,68,50000,0,0,18512,2375,72,151,36,75,36,75,220,460,220,460,15,10,6479,8314,36,75,57,120,36,75,165,345,242,506,15,10,10182,4275,36,75,36,75,61,128,176,368,209,437,15,10
69,69,50000,0,0,18902,2409,73,153,36,76,36,76,224,467,224,467,15,10,6615,8434,36,76,58,122,36,76,168,350,246,513,15,10,10396,4337,36,76,36,76,62,130,179,373,212,443,15,10
70,70,50000,0,0,19292,2444,74,155,37,77,37,77,227,473,227,473,15,10,6752,8555,37,77,59,124,37,77,170,354,249,520,15,10,10610,4399,37,77,37,77,62,131,181,378,215,449,15,10
71,71,50000,0,0,19682,2478,75,157,37,78,37,78,230,480,230,480,15,10,6888,8675,37,78,60,125,37,78,172,360,253,528,15,10,10825,4461,37,78,37,78,63,133,184,384,218,456,15,10
72,72,50000,0,0,20071,2513,76,159,38,79,38,79,233,487,233,487,15,10,7025,8796,38,79,60,127,38,79,174,365,256,535,15,10,11039,4523,38,79,38,79,64,135,186,389,221,462,15,10
73,73,50000,0,0,20461,2547,77,162,38,81,38,81,236,493,236,493,15,10,7161,8916,38,81,61,129,38,81,177,369,259,542,15,10,11253,4585,38,81,38,81,65,137,188,394,224,468,15,10
74,74,50000,0,0,20851,2582,78,164,39,82,39,82,240,500,240,500,15,10,7298,9037,39,82,62,131,39,82,180,375,264,550,15,10,11468,4647,39,82,39,82,66,139,192,400,228,475,15,10
75,75,50000,0,0,21241,2616,79,166,39,83,39,83,243,507,243,507,15,10,7434,9157,39,83,63,132,39,83,182,380,267,557,15,10,11682,4709,39,83,39,83,67,141,194,405,230,481,15,10
76,76,50000,0,0,21630,2650,80,168,40,84,40,84,246,513,246,513,15,10,7570,9278,40,84,64,134,40,84,184,384,270,564,15,10,11897,4771,40,84,40,84,68,142,196,410,233,487,15,10
77,77,50000,0,0,22020,2685,82,170,41,85,41,85,249,520,249,520,15,10,7707,9398,41,85,65,136,41,85,186,390,273,572,15,10,12111,4833,41,85,41,85,69,144,199,416,236,494,15,10
78,78,50000,0,0,22410,2719,83,173,41,86,41,86,252,527,252,527,15,10,7843,9519,41,86,66,138,41,86,189,395,277,579,15,10,12325,4895,41,86,41,86,70,147,201,421,239,500,15,10
79,79,50000,0,0,22800,2754,84,175,42,87,42,87,256,533,256,533,15,10,7980,9639,42,87,67,140,42,87,192,399,281,586,15,10,12540,4957,42,87,42,87,71,148,204,426,243,506,15,10
80,80,50000,0,0,23189,2788,85,177,42,88,42,88,259,540,259,540,15,10,8116,9760,42,88,68,141,42,88,194,405,284,594,15,10,12754,5019,42,88,42,88,72,150,207,432,246,513,15,10
81,81,50000,0,0,23579,2823,86,179,43,89,43,89,262,547,262,547,15,10,8252,9880,43,89,68,143,43,89,196,410,288,601,15,10,12968,5081,43,89,43,89,73,152,209,437,248,519,15,10
82,82,50000,0,0,24164,2857,87,181,43,90,43,90,265,553,265,553,15,10,8457,10001,43,90,69,144,43,90,198,414,291,608,15,10,13290,5143,43,90,43,90,73,153,212,442,251,525,15,10
83,83,50000,0,0,24748,2891,88,184,44,92,44,92,269,560,269,560,15,10,8662,10121,44,92,70,147,44,92,201,420,295,616,15,10,13611,5205,44,92,44,92,74,156,215,448,255,532,15,10
84,84,50000,0,0,25333,2926,89,186,44,93,44,93,272,567,272,567,15,10,8866,10242,44,93,71,148,44,93,204,425,299,623,15,10,13933,5267,44,93,44,93,75,158,217,453,258,538,15,10
85,85,50000,0,0,25918,2960,90,188,45,94,45,94,275,573,275,573,15,10,9071,10362,45,94,72,150,45,94,206,429,302,630,15,10,14255,5329,45,94,45,94,76,159,220,458,261,544,15,10
86,86,50000,0,0,26502,2995,91,190,45,95,45,95,278,580,278,580,15,10,9275,10483,45,95,72,152,45,95,208,435,305,638,15,10,14576,5391,45,95,45,95,77,161,222,464,264,551,15,10
87,87,50000,0,0,27087,3029,92,192,46,96,46,96,281,587,281,587,15,10,9480,10603,46,96,73,153,46,96,210,440,309,645,15,10,14898,5453,46,96,46,96,78,163,224,469,266,557,15,10
88,88,50000,0,0,27672,3064,93,194,46,97,46,97,285,593,285,593,15,10,9685,10724,46,97,74,155,46,97,213,444,313,652,15,10,15219,5515,46,97,46,97,79,164,228,474,270,563,15,10
89,89,50000,0,0,28256,3098,94,197,47,98,47,98,288,600,288,600,15,10,9889,10844,47,98,75,157,47,98,216,450,316,660,15,10,15541,5577,47,98,47,98,79,167,230,480,273,570,15,10
90,90,50000,0,0,28841,3132,95,199,47,99,47,99,291,607,291,607,15,10,10094,10965,47,99,76,159,47,99,218,455,320,667,15,10,15862,5639,47,99,47,99,80,169,232,485,276,576,15,10
91,91,50000,30688,0,29425,3167,96,201,48,100,48,100,294,613,294,613,15,10,10299,11085,48,100,76,160,48,100,220,459,323,674,15,10,16184,5701,48,100,48,100,81,170,235,490,279,582,15,10
92,92,50000,44613,0,30010,3201,97,203,48,101,48,101,297,620,297,620,15,10,10503,11206,48,101,77,162,48,101,222,465,326,682,15,10,16505,5763,48,101,48,101,82,172,237,496,282,589,15,10
93,93,50000,49080,0,30595,3236,98,205,49,102,49,102,301,627,301,627,15,10,10708,11326,49,102,78,164,49,102,225,470,331,689,15,10,16827,5825,49,102,49,102,83,174,240,501,285,595,15,10
94,94,50000,53187,0,31179,3270,99,208,49,104,49,104,304,633,304,633,15,10,10912,11447,49,104,79,166,49,104,228,474,334,696,15,10,17148,5887,49,104,49,104,84,176,243,506,288,601,15,10
95,95,50000,58682,0,31764,3305,100,210,50,105,50,105,307,640,307,640,15,10,11117,11567,50,105,80,168,50,105,230,480,337,704,15,10,17470,5949,50,105,50,105,85,178,245,512,291,608,15,10
96,96,50000,63709,0,32349,3339,102,212,51,106,51,106,310,647,310,647,15,10,11322,11688,51,106,81,169,51,106,232,485,341,711,15,10,17791,6011,51,106,51,106,86,180,248,517,294,614,15,10
97,97,50000,91719,0,32933,3373,103,214,51,107,51,107,313,653,313,653,15,10,11526,11808,51,107,82,171,51,107,234,489,344,718,15,10,18113,6073,51,107,51,107,87,181,250,522,297,620,15,10
98,98,50000,101033,0,33518,3408,104,216,52,108,52,108,317,660,317,660,15,10,11731,11929,52,108,83,172,52,108,237,495,348,726,15,10,18435,6134,52,108,52,108,88,183,253,528,301,627,15,10
99,99,50000,114732,0,34102,3442,105,219,52,109,52,109,320,667,320,667,15,10,11936,12049,52,109,84,175,52,109,240,500,352,733,15,10,18756,6196,52,109,52,109,89,186,256,533,304,633,15,10
100,100,250000000,100000,0,34687,3477,106,221,53,110,53,110,323,673,323,673,15,10,12140,12170,53,110,84,176,53,110,242,504,355,740,15,10,19078,6258,53,110,53,110,90,187,258,538,306,639,15,10
101,101,330000000,150000,278510,35272,3511,107,223,53,111,53,111,326,680,326,680,15,10,12345,12290,53,111,85,178,53,111,244,510,358,748,15,10,19399,6320,53,111,53,111,90,189,260,544,309,646,15,10
102,102,350000000,200000,339358,35856,3546,108,225,54,112,54,112,329,687,329,687,15,10,12549,12411,54,112,86,180,54,112,246,515,361,755,15,10,19721,6382,54,112,54,112,91,191,263,549,312,652,15,10
103,103,420000000,250000,398546,36441,3580,109,227,54,113,54,113,333,693,333,693,15,10,12754,12531,54,113,87,181,54,113,249,519,366,762,15,10,20042,6444,54,113,54,113,92,192,266,554,316,658,15,10
104,104,590000000,300000,499033,37025,3614,110,230,55,115,55,115,336,700,336,700,15,10,12959,12652,55,115,88,184,55,115,252,525,369,770,15,10,20364,6506,55,115,55,115,93,195,268,560,319,665,15,10
105,105,770000000,350000,612331,37610,3649,111,232,55,116,55,116,339,707,339,707,15,10,13163,12772,55,116,88,185,55,116,254,530,372,777,15,10,20685,6568,55,116,55,116,94,197,271,565,322,671,15,10
106,106,1000000000,400000,904355,38195,3683,112,234,56,117,56,117,342,713,342,713,15,10,13368,12893,56,117,89,187,56,117,256,534,376,784,15,10,21007,6630,56,117,56,117,95,198,273,570,324,677,15,10
107,107,1400000000,450000,1028079,38779,3718,113,236,56,118,56,118,345,720,345,720,15,10,13572,13013,56,118,90,188,56,118,258,540,379,792,15,10,21328,6692,56,118,56,118,96,200,276,576,327,684,15,10
108,108,1600000000,500000,1177974,39364,3752,114,238,57,119,57,119,349,727,349,727,15,10,13777,13134,57,119,91,190,57,119,261,545,383,799,15,10,21650,6754,57,119,57,119,96,202,279,581,331,690,15,10
109,109,1800000000,550000,1362796,39949,3787,115,240,57,120,57,120,352,733,352,733,15,10,13982,13254,57,120,92,192,57,120,264,549,387,806,15,10,21972,6816,57,120,57,120,97,204,281,586,334,696,15,10
110,110,2000000000,600000,1595680,40533,3821,116,243,58,121,58,121,355,740,355,740,15,10,14186,13375,58,121,92,194,58,121,266,555,390,814,15,10,22293,6878,58,121,58,121,98,206,284,592,337,703,15,10
111,111,2200000000,650000,1897267,41118,3855,117,245,58,122,58,122,358,747,358,747,15,10,14391,13495,58,122,93,196,58,122,268,560,393,821,15,10,22615,6940,58,122,58,122,99,208,286,597,340,709,15,10
112,112,2400000000,700000,2046187,41702,3890,118,247,59,123,59,123,361,753,361,753,15,10,14596,13616,59,123,94,197,59,123,270,564,397,828,15,10,22936,7002,59,123,59,123,100,209,288,602,342,715,15,10
113,113,2600000000,750000,2208986,42287,3924,119,249,59,124,59,124,365,760,365,760,15,10,14800,13736,59,124,95,199,59,124,273,570,401,836,15,10,23258,7064,59,124,59,124,101,211,292,608,346,722,15,10
114,114,4000000000,800000,2387381,42872,3959,120,251,60,125,60,125,368,767,368,767,15,10,15005,13857,60,125,96,200,60,125,276,575,404,843,15,10,23579,7126,60,125,60,125,102,213,294,613,349,728,15,10
115,115,4000000000,850000,2583373,43456,3993,121,254,60,127,60,127,371,773,371,773,15,10,15209,13977,60,127,96,203,60,127,278,579,408,850,15,10,23901,7188,60,127,60,127,102,215,296,618,352,734,15,10
116,116,4000000000,900000,2775179,44041,4028,123,256,61,128,61,128,374,780,374,780,15,10,15414,14098,61,128,98,204,61,128,280,585,411,858,15,10,24222,7250,61,128,61,128,104,217,299,624,355,741,15,10
117,117,4000000000,950000,2983724,44626,4062,124,258,62,129,62,129,377,787,377,787,15,10,15619,14218,62,129,99,206,62,129,282,590,414,865,15,10,24544,7312,62,129,62,129,105,219,301,629,358,747,15,10
118,118,4000000000,1000000,3210928,45210,4096,125,260,62,130,62,130,381,793,381,793,15,10,15823,14339,62,130,100,208,62,130,285,594,419,872,15,10,24865,7374,62,130,62,130,106,221,304,634,361,753,15,10
119,119,4000000000,1050000,3459006,45795,4131,126,262,63,131,63,131,384,800,384,800,15,10,16028,14459,63,131,100,209,63,131,288,600,422,880,15,10,25187,7436,63,131,63,131,107,222,307,640,364,760,15,10
120,120,4000000000,1100000,3730527,46379,4165,127,265,63,132,63,132,387,807,387,807,15,10,16232,14580,63,132,101,212,63,132,290,605,425,887,15,10,25508,7498,63,132,63,132,107,225,309,645,367,766,15,10
121,121,4000000000,1150000,3986961,46964,4200,128,267,64,133,64,133,390,813,390,813,15,10,16437,14700,64,133,102,213,64,133,292,609,429,894,15,10,25830,7560,64,133,64,133,108,226,312,650,370,772,15,10
122,122,5000000000,1200000,4263731,47744,4234,129,269,64,134,64,134,393,820,393,820,15,10,16710,14821,64,134,103,215,64,134,294,615,432,902,15,10,26259,7622,64,134,64,134,109,228,314,656,373,779,15,10
123,123,5080000000,1250000,4562923,48523,4269,130,271,65,135,65,135,397,827,397,827,15,10,16983,14941,65,135,104,216,65,135,297,620,436,909,15,10,26687,7684,65,135,65,135,110,230,317,661,377,785,15,10
124,124,6060000000,1300000,4886906,49303,4303,131,273,65,136,65,136,400,833,400,833,15,10,17256,15062,65,136,104,218,65,136,300,624,440,916,15,10,27116,7746,65,136,65,136,111,232,320,666,380,791,15,10
125,125,13460000000,1350000,5238387,50082,4337,132,276,66,138,66,138,403,840,403,840,15,10,17528,15182,66,138,105,220,66,138,302,630,443,924,15,10,27545,7808,66,138,66,138,112,234,322,672,382,798,15,10
126,126,16920000000,1400000,5620467,50862,4372,133,278,66,139,66,139,406,847,406,847,15,10,17801,15303,66,139,106,222,66,139,304,635,446,931,15,10,27974,7870,66,139,66,139,113,236,324,677,385,804,15,10
127,127,20400000000,1450000,6036720,51641,4406,134,280,67,140,67,140,409,853,409,853,15,10,18074,15423,67,140,107,224,67,140,306,639,449,938,15,10,28402,7932,67,140,67,140,113,238,327,682,388,810,15,10
128,128,25880000000,1500000,6491287,52421,4441,135,282,67,141,67,141,413,860,413,860,15,10,18347,15544,67,141,108,225,67,141,309,645,454,946,15,10,28831,7994,67,141,67,141,114,239,330,688,392,817,15,10
