[
[301001, {"_id":301001,"name":"雷霆法神","MHP":10000000,"mp":0,"MinDEF":1000,"MaxDEF":5000,"MinMDEF":1000,"MaxMDEF":5000,"MinATK":1200,"MaxATK":60000,"MinMATK":12000,"MaxMATK":60000,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302103, {"_id":302103,"name":"神将3级","MHP":800000,"mp":0,"MinDEF":80000,"MaxDEF":80000,"MinMDEF":80000,"MaxMDEF":80000,"MinATK":0,"MaxATK":0,"MinMATK":40000,"MaxMATK":50000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302104, {"_id":302104,"name":"神将4级","MHP":900000,"mp":0,"MinDEF":80000,"MaxDEF":80000,"MinMDEF":80000,"MaxMDEF":80000,"MinATK":0,"MaxATK":0,"MinMATK":50000,"MaxMATK":60000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302105, {"_id":302105,"name":"神将5级","MHP":1000000,"mp":0,"MinDEF":80000,"MaxDEF":80000,"MinMDEF":80000,"MaxMDEF":80000,"MinATK":0,"MaxATK":0,"MinMATK":60000,"MaxMATK":70000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302106, {"_id":302106,"name":"神将6级","MHP":1100000,"mp":0,"MinDEF":80000,"MaxDEF":80000,"MinMDEF":80000,"MaxMDEF":80000,"MinATK":0,"MaxATK":0,"MinMATK":70000,"MaxMATK":80000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302107, {"_id":302107,"name":"神将7级","MHP":1200000,"mp":0,"MinDEF":80000,"MaxDEF":80000,"MinMDEF":80000,"MaxMDEF":80000,"MinATK":0,"MaxATK":0,"MinMATK":80000,"MaxMATK":90000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[303001, {"_id":303001,"name":"护卫一阶","MHP":10,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":10,"HIT":20,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[303002, {"_id":303002,"name":"护卫二阶","MHP":10,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":10,"HIT":20,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[303003, {"_id":303003,"name":"护卫三阶","MHP":10,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":10,"HIT":20,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[303004, {"_id":303004,"name":"护卫四阶","MHP":10,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":10,"HIT":20,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[303005, {"_id":303005,"name":"护卫五阶","MHP":10,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":10,"HIT":20,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[303006, {"_id":303006,"name":"护卫六阶","MHP":10,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":10,"HIT":20,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[303007, {"_id":303007,"name":"护卫七阶","MHP":10,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":10,"HIT":20,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[303008, {"_id":303008,"name":"护卫八阶","MHP":10,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":10,"HIT":20,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[303009, {"_id":303009,"name":"护卫九阶","MHP":10,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":10,"HIT":20,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[303010, {"_id":303010,"name":"护卫十阶","MHP":10,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":10,"HIT":20,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304001, {"_id":304001,"name":"女神","MHP":800000,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":0,"HIT":0,"minStayTime":0,"maxStayTime":0,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304002, {"_id":304002,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":200,"MaxATK":400,"MinMATK":200,"MaxMATK":400,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304003, {"_id":304003,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":333,"MaxATK":600,"MinMATK":333,"MaxMATK":600,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304004, {"_id":304004,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":466,"MaxATK":800,"MinMATK":466,"MaxMATK":800,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304005, {"_id":304005,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":600,"MaxATK":1000,"MinMATK":600,"MaxMATK":1000,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304006, {"_id":304006,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":733,"MaxATK":1200,"MinMATK":733,"MaxMATK":1200,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304007, {"_id":304007,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":866,"MaxATK":1400,"MinMATK":866,"MaxMATK":1400,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304008, {"_id":304008,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":1000,"MaxATK":1600,"MinMATK":1000,"MaxMATK":1600,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304009, {"_id":304009,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":1133,"MaxATK":1800,"MinMATK":1133,"MaxMATK":1800,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304010, {"_id":304010,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":1266,"MaxATK":2000,"MinMATK":1266,"MaxMATK":2000,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304011, {"_id":304011,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":1400,"MaxATK":2200,"MinMATK":1400,"MaxMATK":2200,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304012, {"_id":304012,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":1533,"MaxATK":2400,"MinMATK":1533,"MaxMATK":2400,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304013, {"_id":304013,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":1666,"MaxATK":2600,"MinMATK":1666,"MaxMATK":2600,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304014, {"_id":304014,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":1800,"MaxATK":2800,"MinMATK":1800,"MaxMATK":2800,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304015, {"_id":304015,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":1933,"MaxATK":3000,"MinMATK":1933,"MaxMATK":3000,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304016, {"_id":304016,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":2066,"MaxATK":3200,"MinMATK":2066,"MaxMATK":3200,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304017, {"_id":304017,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":2200,"MaxATK":3400,"MinMATK":2200,"MaxMATK":3400,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304018, {"_id":304018,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":2333,"MaxATK":3600,"MinMATK":2333,"MaxMATK":3600,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304019, {"_id":304019,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":2466,"MaxATK":3800,"MinMATK":2466,"MaxMATK":3800,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304020, {"_id":304020,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":2600,"MaxATK":4000,"MinMATK":2600,"MaxMATK":4000,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[304021, {"_id":304021,"name":"守护法神","MHP":10000,"mp":0,"MinDEF":99999,"MaxDEF":99999,"MinMDEF":99999,"MaxMDEF":99999,"MinATK":2733,"MaxATK":4200,"MinMATK":2733,"MaxMATK":4200,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[4002028, {"_id":4002028,"name":"大刀守卫","MHP":100000000,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":0,"HIT":0,"minStayTime":0,"maxStayTime":0,"moveTime":0,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":10000000,"showTomb":0}],
[4005010, {"_id":4005010,"name":"大刀守卫","MHP":100000000,"mp":0,"MinDEF":0,"MaxDEF":0,"MinMDEF":0,"MaxMDEF":0,"MinATK":0,"MaxATK":0,"MinMATK":0,"MaxMATK":0,"DODGE":0,"HIT":0,"minStayTime":0,"maxStayTime":0,"moveTime":0,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":10000000,"showTomb":0}],
[1001001, {"_id":1001001,"name":"鸡","MHP":5,"mp":0,"MinDEF":1,"MaxDEF":1,"MinMDEF":1,"MaxMDEF":1,"MinATK":2,"MaxATK":4,"MinMATK":2,"MaxMATK":4,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001002, {"_id":1001002,"name":"稻草人","MHP":20,"mp":0,"MinDEF":1,"MaxDEF":1,"MinMDEF":1,"MaxMDEF":1,"MinATK":2,"MaxATK":5,"MinMATK":2,"MaxMATK":5,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001003, {"_id":1001003,"name":"鹿","MHP":15,"mp":0,"MinDEF":1,"MaxDEF":1,"MinMDEF":1,"MaxMDEF":1,"MinATK":2,"MaxATK":6,"MinMATK":2,"MaxMATK":6,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001004, {"_id":1001004,"name":"多钩猫","MHP":45,"mp":0,"MinDEF":1,"MaxDEF":1,"MinMDEF":1,"MaxMDEF":1,"MinATK":3,"MaxATK":7,"MinMATK":3,"MaxMATK":7,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001008, {"_id":1001008,"name":"洞蛆","MHP":55,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":2,"MaxMDEF":2,"MinATK":4,"MaxATK":10,"MinMATK":4,"MaxMATK":10,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001005, {"_id":1001005,"name":"骷髅","MHP":60,"mp":0,"MinDEF":1,"MaxDEF":1,"MinMDEF":1,"MaxMDEF":1,"MinATK":3,"MaxATK":8,"MinMATK":3,"MaxMATK":8,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001012, {"_id":1001012,"name":"骷髅守卫","MHP":65,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":2,"MaxMDEF":2,"MinATK":8,"MaxATK":17,"MinMATK":8,"MaxMATK":17,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001013, {"_id":1001013,"name":"骷髅战将","MHP":80,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":2,"MaxMDEF":2,"MinATK":9,"MaxATK":19,"MinMATK":9,"MaxMATK":19,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001006, {"_id":1001006,"name":"僵尸","MHP":110,"mp":0,"MinDEF":1,"MaxDEF":1,"MinMDEF":1,"MaxMDEF":1,"MinATK":3,"MaxATK":8,"MinMATK":3,"MaxMATK":8,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001007, {"_id":1001007,"name":"和尚僵尸","MHP":130,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":2,"MaxMDEF":2,"MinATK":4,"MaxATK":9,"MinMATK":4,"MaxMATK":9,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001010, {"_id":1001010,"name":"爬行僵尸","MHP":140,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":2,"MaxMDEF":2,"MinATK":6,"MaxATK":13,"MinMATK":6,"MaxMATK":13,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001009, {"_id":1001009,"name":"电僵尸","MHP":150,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":2,"MaxMDEF":2,"MinATK":5,"MaxATK":12,"MinMATK":5,"MaxMATK":12,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001015, {"_id":1001015,"name":"旱魃","MHP":450,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":2,"MaxMDEF":2,"MinATK":11,"MaxATK":23,"MinMATK":11,"MaxMATK":23,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1001014, {"_id":1001014,"name":"骷髅精灵","MHP":250,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":2,"MaxMDEF":2,"MinATK":10,"MaxATK":21,"MinMATK":10,"MaxMATK":21,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1002001, {"_id":1002001,"name":"矿洞蝙蝠","MHP":495,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":1,"MaxMDEF":1,"MinATK":14,"MaxATK":29,"MinMATK":14,"MaxMATK":29,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1002002, {"_id":1002002,"name":"恶蛆","MHP":585,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":1,"MaxMDEF":1,"MinATK":15,"MaxATK":31,"MinMATK":15,"MaxMATK":31,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[1002003, {"_id":1002003,"name":"和尚僵尸","MHP":630,"mp":0,"MinDEF":2,"MaxDEF":2,"MinMDEF":1,"MaxMDEF":1,"MinATK":17,"MaxATK":34,"MinMATK":17,"MaxMATK":34,"DODGE":10,"HIT":15,"minStayTime":1000,"maxStayTime":1500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
